,x,z,spin_rate,release_velo,release_x,release_y,release_z,pfx_x,pfx_z,extension,ump,catcherid,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,pitch_type_CB,pitch_type_CH,pitch_type_CT,pitch_type_FF,pitch_type_SL
390,5.999696912999999,23.9136293,2550.3771309999997,94.86043456,-3.33,54.56,5.42,-8.18,7.53,5.94,50,6,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
391,1.618582004,20.55762185,2422.442072,95.39230988,-3.45,54.38,5.01,-8.7,6.92,6.119,7,6,3,1,2,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
392,-8.639637577,37.46559174,2490.1715440000003,83.40072812,-3.52,54.89,5.38,0.35,0.45,5.607,13,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
393,22.13955601,1.334937938,2319.268013,86.73981897,-3.34,54.75,5.12,0.55,1.97,5.747999999999999,3,6,1,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
394,5.077147418,8.746246791,1480.0911039999999,87.67931151,-3.34,54.09,5.21,-9.68,1.71,6.4110000000000005,8,1,2,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
395,-11.8829909,43.30887696,2396.557563,95.14945393,-3.36,54.77,5.75,-7.54,8.96,5.725,56,6,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
396,-17.89075297,24.85186593,2555.308113,94.60970257,-3.57,54.28,5.24,-8.17,9.58,6.2170000000000005,4,6,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
397,14.43648029,34.44990772,2436.20189,85.2785368,-3.65,54.66,5.09,0.98,0.0,5.835,56,6,1,1,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
398,23.54231711,28.23397154,2531.1957780000002,97.9626425,-3.32,54.28,5.17,-5.72,8.22,6.216,6,1,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
399,19.15104292,2.144351022,2309.181269,86.00753071,-3.51,54.53,5.0,1.01,-0.35,5.973,37,1,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400,22.19871875,27.03617533,2478.391121,93.73933438,-3.41,54.92,5.7,-8.31,8.95,5.584,24,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
401,27.26494652,22.904864899999996,2549.48089,90.26991594,-3.57,54.73,5.12,-3.39,5.82,5.769,49,6,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
402,0.983210483,30.46790127,2586.412376,93.26034776,-3.63,54.58,5.33,-9.39,7.48,5.915,56,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
403,7.559270418,21.27579585,2636.861781,95.61125828,-3.42,54.57,4.88,-8.33,9.45,5.9270000000000005,20,6,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
