,x,z,spin_rate,release_velo,release_x,release_y,release_z,pfx_x,pfx_z,extension,ump,catcherid,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,pitch_type_CB,pitch_type_CH,pitch_type_FF,pitch_type_FT,pitch_type_SL
602,8.279021132,49.58186072,2303.026162,90.71127681,-1.18,53.73,5.68,2.32,2.15,6.774,11,4,1,1,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
603,4.618535279,16.65500272,1606.384872,89.01125324,-0.81,53.49,5.62,-8.16,3.52,7.007000000000001,35,4,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
604,5.340752718,43.76554576,2434.808889,96.55036602,-1.62,54.18,5.4,-2.98,9.07,6.317,42,4,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
605,6.430421057,42.58866758,2688.5504379999998,93.64896409,-0.94,53.91,5.74,2.29,3.55,6.587000000000001,53,4,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
606,-13.39043649,20.10067238,2735.383964,85.45073793,-1.02,54.09,5.77,3.56,-2.6,6.409,13,10,0,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
607,12.1543142,36.5872874,2413.768398,97.70306537,-1.07,53.55,5.59,-3.52,10.15,6.95,56,4,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
608,11.43802189,38.037490399999996,2516.104663,93.00038568,-0.87,53.95,5.74,1.87,2.97,6.547999999999999,56,4,3,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
609,7.044622547,46.75164144,2348.528111,92.18819778,-1.18,53.69,5.65,0.45,4.54,6.805,29,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
610,-1.9211648140000002,35.22025966,2486.009817,96.60996895,-0.92,53.63,5.57,-4.16,8.23,6.867000000000001,23,4,3,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
611,-10.28414819,31.44144197,2201.8839629999998,94.63785879,-1.17,53.17,5.7,-3.14,9.04,7.334,53,4,3,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
612,8.977210086,39.05833934,2485.553327,92.97022244,-0.68,53.6,5.65,-1.03,4.48,6.905,55,4,0,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
613,25.90561782,30.53998778,2527.930885,96.81925669,-1.1,53.33,5.66,-1.86,9.88,7.172999999999999,12,4,2,2,3,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
614,-10.15249522,32.23260996,2417.9352440000002,97.19753999,-1.06,53.72,5.63,-3.49,9.79,6.7829999999999995,29,4,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
615,1.24814026,39.38183048,2496.2743179999998,90.98828129,-1.11,53.84,5.69,1.59,2.6,6.662999999999999,29,4,0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
616,25.00614107,21.49083956,2275.264934,96.51777274,-1.0,53.51,5.66,-3.28,9.55,6.99,49,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
617,24.20652981,7.237698617,2496.569243,94.49120416,-1.08,53.86,5.46,2.29,3.73,6.638999999999999,43,10,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
618,-13.03425125,24.64543371,2238.343228,97.60865235,-1.11,53.68,5.55,-7.34,6.46,6.822,8,10,0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
619,-10.86283543,40.1879586,2439.563569,98.6799856,-0.89,54.04,5.73,-4.16,9.22,6.462000000000001,49,4,1,2,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
620,-11.92719043,43.00886564,2438.3780739999997,95.56949503,-1.54,53.79,5.42,-4.28,9.45,6.715,42,4,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
621,13.81165453,38.01620077,2450.2012449999997,88.06023362,-1.43,53.83,5.66,1.48,3.5,6.6739999999999995,20,4,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
622,-10.94252938,36.75445922,2364.656366,96.84081633,-1.08,53.51,5.71,-3.37,10.12,6.994,25,4,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
623,-11.37297886,55.39358120000001,2305.848812,97.00081711,-1.48,53.75,5.69,-3.14,8.23,6.749,45,4,1,2,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
624,5.942065863,53.18285943,2399.7819210000002,95.44278926,-1.02,53.44,5.66,-2.26,8.77,7.059,20,4,1,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
625,15.40937386,12.17852627,2582.3096,90.98234399,-0.79,53.87,5.68,1.58,3.36,6.632000000000001,41,4,0,1,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
626,21.62486829,19.3323042,2505.957486,92.28010159,-1.06,53.92,5.52,-0.17,4.52,6.5760000000000005,29,4,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
627,10.80211767,11.55481403,2522.3401489999997,91.22114952,-1.46,53.83,5.73,3.49,3.03,6.672999999999999,50,10,2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
628,-7.306330347,27.01165861,2501.378448,96.83178318,-1.58,53.87,5.63,-3.62,11.27,6.625,40,5,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
629,13.39507448,40.72785105,2379.266903,93.30858386,-0.92,53.62,5.65,0.63,4.7,6.8839999999999995,25,4,1,1,2,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
630,9.432152681,26.23224503,2437.873945,98.10955099,-0.85,53.24,5.67,-2.96,10.66,7.257000000000001,53,4,1,2,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
631,22.72904121,38.80970257,2467.917564,95.48714572,-1.45,53.56,5.61,-4.94,11.59,6.937,40,5,1,2,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
632,11.32868622,42.0215187,2558.686279,97.63000519,-0.95,53.44,5.61,-3.36,8.8,7.057,23,4,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
633,7.380070204,33.08257229,2386.72395,92.31019288,-0.93,53.73,5.69,-0.45,4.17,6.773,23,4,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
634,12.05809601,17.7366177,2444.507502,92.57786078,-1.45,53.98,5.65,-0.1,5.01,6.517,46,10,3,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
635,12.60193975,22.26203329,2523.651877,92.80218669,-1.03,53.76,5.78,-0.2,4.96,6.7379999999999995,11,4,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
636,-10.32332637,21.13068221,2303.355289,93.58956369,-1.66,53.88,5.65,0.02,4.04,6.617999999999999,46,10,2,2,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
637,-11.8686317,34.02074327,2351.164542,97.59130908,-1.03,53.62,5.69,-2.87,8.75,6.876,49,4,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
638,-11.75661739,48.85544144,2440.1799149999997,99.04006963,-1.05,53.48,5.6,-4.66,7.39,7.021,49,4,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
639,7.873231352,44.52166322,2384.619565,97.72624844,-1.34,53.58,5.71,-4.14,10.26,6.917999999999999,28,10,1,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
640,1.694053035,34.16526817,1826.8342670000002,90.30823479,-1.29,53.5,5.42,-8.91,1.04,7.002999999999999,42,4,3,1,2,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
641,5.1466485,46.94192677,2259.208834,96.34183536,-1.53,53.36,5.73,-3.88,8.71,7.138,46,10,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
642,8.269604665,11.05528725,2363.620529,92.29107747,-1.85,53.95,5.64,1.04,4.83,6.5489999999999995,26,4,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
643,9.06971593,28.68218918,2410.265413,97.29979341,-1.42,53.62,5.71,-4.13,11.14,6.8839999999999995,28,10,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
644,-2.301760142,21.8875763,2443.541933,96.42269508,-0.93,53.53,5.53,-2.32,10.29,6.968999999999999,23,4,0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
